,Project ID,name,long,lat,First Year of Project,Type,Country
1944,23792,300MW Hydropower project by JHPL,78.283333,31.833333,2007,Hydropower,India
1945,2371733,Nouakchott 30 MW wind power plant,-15.980278,17.965554,2016,Wind,Mauritania
1946,237381,Bundled wind power project in Harshnath managed by Enercon (India) Limited,75.168806,27.494833,2007,Wind,India
1947,237543,Inner Mongolia Wuliji Wind Farm Project,106.6416,41.5056,2009,Wind,China
1948,2371732,Kinik Wind Power Plant,27.367638,39.059843,2016,Wind,Turkey
1949,237876,Shree Nakoda Ispat Ltd 12MW Biomass power generation project,81.396,21.2136,2009,Biomass,India
1950,237853,5 MW Wind power project by UIC Udyog Limited,77.423472,10.843944,2008,Wind,India
1955,2371730,Bundled Solar PV based power generation by JKLCL,73.018889,21.14,,Solar - Centralized,India
1956,2371728,Bundled Wind Power Project by Mytrah Group,78.315554,22.298331,2016,Wind,India
1957,23710,BAESA Project,-51.216667,-27.766667,2006,Hydropower,Brazil
1958,2371209,Wind Power Project at Bhachau by Powerica Limited,70.615555,23.21,2011,Wind,India
1959,2371727,Biomass Power Projects by Spark Green Energy Group India,74.828886,19.271667,,Biomass,India
1960,2371189,Shandong Taipingshan Wind Farm Project,118.7125,36.171944,2010,Wind,China
1961,2371188,Shandong Wendeng Zhangjiachan Wind Farm Project,122.05,37.09,2012,Wind,China
1962,2371187,Shandong Yishui Tangwangshan Wind Farm Project,118.219722,35.6,2010,Wind,China
1963,2371723,Escuela de Minas Hydroelectric Project,-75.266345,6.23277,2019,Hydropower,Colombia
1964,237669,Wind Energy project by Ramco group in india,77.416388,10.567778,2006,Wind,India
1965,237727,CECIC HKE Zhangbei Lvnaobao Wind Power Project,114.541665,41.063887,2010,Wind,China
1966,237710,Shandong Changdao 27.2 MW Wind Power Project,120.72,37.93,,Wind,China
1967,237324,"Bundled wind power project by KMSPL, Bangalore",77.399997,8.966669,2006,Wind,India
1968,2371291,"Hydro Power Project in backward district of Andhra Pradesh, India",77.703997,16.332166,2008,Hydropower,India
1970,237534,Feke II 69.58 MW Hydroelecrtic Power Plant,35.861583,37.743306,2012,Hydropower,Turkey
1973,237972,40 MW Grid Connected Wind Power Project,74.15,21.2,2007,Wind,India
1976,2371022,"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan",72.51558,26.48686,2011,Wind,India
1977,2371706,3MW Solar PV based power generation by Jindal Poly Films,73.788611,19.996389,2017,Solar - Centralized,India
1978,237679,Bundled Wind Power Project by Rajendra Exim Pvt. Ltd.,73.922778,17.141944,2007,Wind,India
1980,23777,Yangcun Hydropower Station Project,103.148611,29.193611,2004,Hydropower,China
1981,2371557,Arenal Etapa I-II Hydroelectric Project,-86.77472,15.297776,,Hydropower,Honduras
1982,2371386,Recast Energy Louisville Fuel Switch from Coal to Biomass for Thermal Energy,-85.823588,38.222628,2013,Biomass,United States
1983,237708,Engenheiro Ernesto Jorge Dreher and Engenheiro Henrique Kotzian SHPs VCS Project (JUN1120),-53.367499,-29.12,2009,Hydropower,Brazil
1984,2371701,Nam Mo 3 Hydro Power Project,103.873888,21.751111,2014,Hydropower,Vietnam
1986,2371703,Huadian Ningxia Ningdong Yangjiayao 45MW Wind-farm Project,106.633332,37.885556,2010,Wind,China
1987,2371700,Incomex Hydroelectric Project,-62.180272,-11.909722,2011,Hydropower,Brazil
1988,2371696,22.5 MW Bhilangana Hydro Power Project (BHPP),78.575,30.427777,2010,Hydropower,India
1989,2371697,"24 MW Perla Mini Hydel Project, Karnataka, India",75.094166,12.879443,2011,Hydropower,India
1990,2371698,"5 MW Sahu Hydro Electric Project for a grid connected system in Himachal Pradesh, India",76.208055,32.531943,2010,Hydropower,India
1991,2371699,Song Chung Hydropower Project,104.634444,22.427499,2012,Hydropower,Vietnam
1992,2371036,Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4,-82.3398,27.952,,,
1993,2371063,Clean energy generation from wind energy in the state of Rajasthan,70.768889,26.678056,2011,Wind,India
1994,2371692,15 MW Wind Power Project by RSPL Ltd (EKIESL-CDM-May-16-04),75.833888,23.414999,2015,Wind,India
1995,2371693,"Wind Power Project in Maharashtra State, India",75.241667,16.978887,2013,Wind,India
1996,2371691,5 MW Upper Awa Hydro Power Project in Himachal Pradesh by M/s Astha Projects (India) Limited,76.58,32.133333,2008,Hydropower,India
1998,237682,"Wind Power Project at Anthiyur, Tamil Nadu",77.158056,10.613056,2007,Wind,India
1999,23783,"GuaraÃ­, Itabira and Santa Izabel Ceramics Fuel Switching Project",-42.947778,-22.73,2006,Biomass,Brazil
2000,2371120,"Vaayu India Wind Power Project in Jaisalmer, Rajasthan",70.707499,26.673611,2011,Wind,India
2001,2371687,Grid connected bundled wind projects in Gujarat and Tamil Nadu,68.772778,23.94,,Wind,India
2002,237906,Fujian Zhangpu Liuao 3rd phase Wind Power Project,117.775833,23.9525,2008,Wind,China
2003,2371554,La Mina Hydropower Plant,-70.739,-35.828,2018,Hydropower,Chile
2004,237603,Sirma Run-of-River Hydro Project,28.473889,37.607222,2009,Hydropower,Turkey
2005,237592,Utilization of jute biomass process waste & other biomass as fuel substituting fossil fuels in steam generation for use on site,81.090278,16.693611,2009,Biomass,India
2007,237535,78 MW AKOCAK Hydroelectric Power Plant,39.9515,40.606611,2010,Hydropower,Turkey
2008,237513,Salto PilÃ£o Hydropower Plant Project Activity,-49.466667,-27.1,2012,Hydropower,Brazil
2009,237604,Rajwakti Small Scale Hydropower Project,79.349722,30.306667,2008,Hydropower,India
2010,237510,4 MW Kirloskar Wind Farms in Maharashtra,73.985583,17.201305,2006,Wind,India
2011,237530,Zhumadian Zhongyuan Gas-Steam Combined Cycle Power Project in Henan China,114.060833,32.958611,,,
2012,237717,CECIC HKC Gansu Changma Wind Power project,96.8583,40.1417,2009,Wind,China
2013,237536,Uluabat Hydroelectric Power Plant,28.766667,40.05,2012,Hydropower,Turkey
2014,237661,"8.4 MW Wind Energy Project by Sanwaria Agro Oils Limited, India",76.05,22.97,2007,Wind,India
2015,237657,"Grid connected electricity generation from renewable sources:Bagisli 29.57 MW Hydroelectric Power Plant Project, Turkey",44.054721,37.713611,2009,Hydropower,Turkey
2016,237578,Menge Dam and Hydroelectric Plant,35.7225,37.705006,2012,Hydropower,Turkey
2017,2371309,Clean Energy Project in India,15.145555,78.468889,,Wind,India
2018,237413,Hebei Yuxian Kongzhongcaoyuan 49.5MW Wind Farm Project,114.5125,39.608888,2009,Wind,China
2019,237557,Kadamane Mini Hydel Scheme-1 (KMHS-1),76.166667,13.166667,2008,Hydropower,India
2020,237518,Fujian Nanridao 16.15MW Wind Power Project in China,119,25,2005,Wind,China
2021,2371685,Grid connected 25 MW PV solar power project at Charanka in Gujarat,71.214167,23.058056,2012,Solar - Centralized,India
2022,237698,CAYKARA HYDROELECTRIC POWER PLANT,40.25,40.75,,Hydropower,Turkey
2023,237656,Guizhou Qingshuihe Gelibridge Hydropower Project,107,27,2010,Hydropower,China
2025,237580,Coc Dam Hydropower Project,104.3175,22.443056,2008,Hydropower,Vietnam
2026,237719,Yunnan Dali Zhemoshan Wind Power Project,100.17,25.55,2010,Wind,China
2027,237713,KOYULHISAR HYDRO ELECTRICITY POWER PLANT,37.848611,40.270278,2011,Hydropower,Turkey
2028,237704,BHL Biogas and Bagasse based cogeneration project activity at Kinauni,77.75,29.01,2007,Biomass,India
2030,237623,12.55 MW Wind Power Project In India,77.44,8.44,2008,Wind,India
2031,237740,PrairieWinds ND1 (PWND1) Emissions Reduction Project,-101.3,47.9,2011,Wind,United States
2032,237750,10.2 MW Wind Power Project by Ruchi Infrastructure Limited,74.93,23.39,2008,Wind,India
2033,237751,"22.5 MW Wind Power Project by Ruchi Soya Industries Limited at Palsodi, District-Ratlam, Madhya Pradesh",74.92,23.34,2008,Wind,India
2035,237763,Dogancay HPPs run-of-river hydro project,30.33,40.57,,Hydropower,Turkey
2036,237761,Doruk HPP Run-of-River Hydro Project,38.2202,40.5625,,Hydropower,Turkey
2037,237762,"Grid connected electricity generation from renewable sources: Uzuncayir 82.0 MW Hydroelectric Power Plant Project, Turkey",39.53,38.98,2009,Hydropower,Turkey
2038,237771,SarÃ½gÃ¼zel Dam and Hydroelectric Power Plants,36.970558,37.935022,2013,Hydropower,Turkey
2039,237752,YEDISU 22.71 MW HYDROELECTRIC POWER PLANT PROJECT,41,39.27,,Hydropower,Turkey
2040,2371194,Kaladonger Wind Power Project in Rajasthan,70.999442,27.093052,2012,Wind,India
2041,237778,Pirinclik HPP run-of-river hydro project,32.561667,41.159444,,Hydropower,Turkey
2044,237802,Tra Linh 3 Hydropower Project,108.00402,15.0246,2010,Hydropower,Vietnam
2045,237811,Nam Ngan Hydropower Project,104.9,22.6,2009,Hydropower,Vietnam
2046,237836,Song Ong Hydropower Project,108.805,11.756,2009,Hydropower,Vietnam
2047,237831,Amayo Phase II Wind Power Project,-85.706638,11.316608,2011,Wind,Nicaragua
2048,237822,BATICIM BATI ANADOLU CIMENTO SANAYII A.S. 9 MW Cement WHR Project,27.26,38.45,,,
2049,237805,Waste Heat based 10 MW captive power project â€œGPIL- WHRB 2â€ CDM PROJECT ACTIVITY,81.68,21.38,,,
2051,237843,Ban Coc Hydropower Project,104.8582,19.6061,2009,Hydropower,Vietnam
2057,237917,ASLANCIK HYDRO POWER PLANT PROJECT,38.913056,40.818611,2014,Hydropower,Turkey
2058,2371683,Kahone Solar PV Plant,-16.026111,14.1775,,Solar - Centralized,Senegal
2060,237939,Thermal Energy Substitution using Landfill Gas at Saint-Ã‰tienne-des-GrÃ¨s,-72.751404,46.444955,,,
2061,237900,Za Hung Hydropower Project,107.39,15.55,2010,Hydropower,Vietnam
2062,237951,Liaoning Linghai Shengli Wind Farm Project,121,42,2010,Wind,China
2063,237952,Liaoning Xingcheng Liutaizi Wind Farm Project,120.473611,40.328333,2009,Wind,China
2064,237905,The Yokuslu- Kalkandere Hydroelectric Power Plant,40.21,40.89,2011,Hydropower,Turkey
2065,237893,Kale HES Hydro Power Project,37.354015,36.293566,2010,Hydropower,Turkey
2066,237882,"Sichuan Huadian Xixi River Hydro-electricity Development Co., Ltd. Diluo Hydroelectric Project",103.04472,27.58111,2009,Hydropower,China
2070,2371677,Vaayu India Wind Power Project in Gujarat,72.857221,20.447222,2012,Wind,India
2073,2371678,Grid Connected Wind Energy Generation at Andhra Pradesh.,79.739722,-15.912777,2012,Wind,India
2074,2371679,"Bundled Wind Power Project in Madhya Pradesh, Gujarat and Kerala by D.J. Malpani",72.633054,25.971099,2016,Wind,India
2075,237932,"Cakrak 31.29 MW Hydroelectric Power Plant Project, Turkey",38.595277,40.630833,,Hydropower,Turkey
2076,237921,Inner Mongolia Jingneng Saihan Wind Farm Phase II Project,112.849997,42.616666,2010,Wind,China
2077,237936,Shiyazi Hydro power Project in Guizhou Province China,107.96834,28.65221,2011,Hydropower,China
2078,237967,Bantargebang Landfill Gas Management & Power Generation,106.993918,-6.331294,,,
2080,2371079,"Bundled Wind Power Project in Jamnagar, Gujarat",70.104721,21.93361,2010,Wind,India
2081,237599,Enercon Wind Farms in Karnataka Bundled Project-30.40 MW,76.45,14.033333,2008,Wind,India
2082,2371675,University of Wisconsin Milwaukee Campus Wide Clean Energy & Energy Efficiency Project,-87.882,43.0783,,,
2083,237709,Katuntsi Small Hydro Power Project,23.433056,41.45,2008,Hydropower,Bulgaria
2084,237790,Roaring 40s Wind Farms (Khandke) Private Limited - Phase III,74.864997,19.070277,2009,Wind,India
2085,237791,Roaring 40s Wind Farms (Khandke) Private Limited â€“ Phase II,74.87611,19.147221,2008,Wind,India
2087,2371109,Mithapur Solar Power Project,68.99306,22.40889,2012,Solar - Centralized,India
2088,2371199,Bugoye 13.0 MW Run-of-River Hydropower Project,30.07417,0.333889,2010,Hydropower,Uganda
2089,2371205,Tatar Hydro Electricity Power Plant,39.82056,38.86583,2013,Hydropower,Turkey
2090,2371222,"Kaiyang 15100 Rural Methane Digesters Project in Guizhou Province, China",106.8522,27.1166,,,
2091,237976,Xinjiang Huaneng Toksun Baiyanghe Phase II Wind Power project,88.555,43.069166,2010,Wind,China
2092,2371093,Solar Power Project by Sai Sudhir Energy Limited,76.950833,14.761389,,Solar - Centralized,India
2094,2371226,Anhui Zhongxing Shouchuang Energy-Saving Service Co. Ltd. Biomass Boiler Retrofitting Project,117.14,30.911,2012,Biomass,China
2095,2371208,Nam Chim Hydro Power Project,104.348888,21.341111,2010,Hydropower,Vietnam
2096,2371204,Guohua Wulate Zhongqi Phase I 49.5 MW Wind farm Project,108.32,41.913,2009,Wind,China
2098,2371156,Kiran Energy Solar PV Project,71.198414,23.838956,,Solar - Centralized,India
2099,2371157,Saraff Energy EFB to electricity project,99.03583,8.225,,Biomass,Thailand
2100,2371148,Luofan 24MW Hydropower Project in Guizhou Province China,105.849,25.116,2011,Hydropower,China
2102,2371119,RFC Grouped Wind Projects Phase II,-85.524,40.01,2013,Wind,United States
2103,2371173,San Andres Hydroelectric project,-75.6372,6.894,,Hydropower,Colombia
2104,2371229,Fronteira and Novicel Ceramics Fuel Switching Project,-60.184167,3.283997,2011,Biomass,Brazil
2105,2371232,"YaylakÃ¶y Wind Power Project, Turkey",26.44,38.59,2016,Wind,Turkey
2106,2371287,Kavsakbendi Hydroelectric Power Plant,35.516389,37.516389,,Hydropower,Turkey
2108,2371296,Tuana 7.66 MW Hydroelectric Power Plant,40.655751,39.780256,,Hydropower,Turkey
2109,2371322,"Buyukduz Hydroelectric Power Plant, Turkey",39.049,40.602,2012,Hydropower,Turkey
2110,237933,6.25 MW wind power project by VELATAL SPINNING MILLS PVT LTD,77.127499,10.805832,2011,Wind,India
2111,2371333,Dagbasi Hydroelectric Power Plant,32.777,36.289,,Hydropower,Turkey
2112,2371355,4.2 MW renewable energy based power generation project in Andhra Pradesh by Hi- Tech,77.29861,14.965,2014,RE Bundled,India
2113,2371012,"Umut-I Hydropower Plant, Turkey",37.026944,40.713333,,Hydropower,Turkey
2117,2371241,Veer (NLBC) Small Hydro Power Project,74.097222,18.123055,2012,Hydropower,India
2118,2371671,"Wind based power generation by Panama Wind Energy Private Limited in Maharashtra, India",73.77592,17.29511,2016,Wind,India
2119,2371670,Bundled Solar Power Project by D.J. Malpani and Giriraj Enterprises,77.55667,17.65583,2015,Solar - Centralized,India
2125,2371416,Umurlu GeoThermal Power Plant,27.927746,37.853896,,Geothermal,Turkey
2126,237759,"Camlica-3 HPP, Run-of-River Hydro Project, Turkey",35.5,37.89,2011,Hydropower,Turkey
2127,237688,Wayang Windu Phase 2 Geothermal Power Project,107.62892,-7.207441,2010,Wind,Indonesia
2129,2371286,Ishasha 6.6 MW Small Hydropower Project,29.668611,-0.935556,2015,Hydropower,Uganda
2130,237497,"18.86 MW Bundled Wind Power Project, India",76.4,14.233333,2008,Wind,India
2132,2371035,Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project,117.8,42.65,2009,Wind,China
2133,2371665,HPP Project Liberia,-9.7802,6.1047,2018,Biomass,Liberia
2134,237716,Gansu Guazhou Xiangyang Phase II Wind Power Project,95.640833,40.619722,2009,Wind,China
2136,2371661,Costa Rica Grouped Wind Project,-83.753056,9.748609,2018,Wind,Costa Rica
2137,2371660,Wind bundle project in Maharashtra by Sispara,75.680833,17.521943,2015,Wind,India
2138,2371143,Ningxia Angli Lingwu Photovoltaic Grid Connected Power Plant Project,106.363605,37.806663,2011,Solar - Centralized,China
2139,237201,Barbosa Ceramic Fuel Switching Project,-47.472167,-1.637833,2007,Biomass,Brazil
2140,2371658,Tugela Mill Fuel Switching Project,31.406942,-29.153609,2012,Biomass,South Africa
2143,237558,Ituiutaba Ceramic Fuel Switching Project,49.453887,18.964721,2008,Biomass,Brazil
2148,237487,"210 MW Musi Hydro Power Plant, Bengkulu",102.457186,-3.618497,2009,Hydropower,Indonesia
2150,2371644,Larimar Wind Farm Project,-71.258791,17.914737,2016,Wind,Dominican Republic
2155,237133,15 MW grid-connected wind power project by MMTC in Karnataka,75.97078,15.758015,2009,Wind,India
2156,237266,18.2 MW Grouped Wind Power Project in Maharashtra by Navalakha Translines,74.495833,21.421389,2006,Wind,India
2157,2371366,2 x 2MW wind project by Bansal Windmills Pvt. Ltd.,77.554972,8.867,,Wind,India
2158,237590,2.25 MW rice husk based cogeneration plant at Siddeshwari Industries Pvt. Ltd.,77.44,29.28,2006,Biomass,India
2159,237643,"16.0 MW bagasse based cogeneration project at Ahmadnagar, Maharashtra by M/s Mula Sahakari Sakhar Karkhana Ltd.",74.81636,19.394341,2007,Biomass,India
2160,237644,"27.95MW Wind Energy Project in Coimbatore District in Tamilnadu, India.",77.228917,10.644111,2008,Wind,India
2161,237678,"16.45 MW bundled grid connected renewable energy project in Tamil Nadu, India.",77.546389,9.001666,2008,RE Bundled,India
2162,237869,"2 x 3.5 MW Ullunkal Hydro Power Project in Kerala, India.",76.933055,9.341388,2008,Hydropower,India
2164,237568,"15 MW grouped grid connected wind energy project in Gujarat, India",68.78675,23.100417,,Wind,India
2165,2371623,Denizli Bundled Solar Project,29.439424,37.414911,,Solar - Centralized,Turkey
2166,237154,"Shunchang Yangkou Hydro Power Project, Fujian, China",117.893333,26.791667,2007,Hydropower,China
2170,2371587,Fatma WEPP,28.438019,37.273001,,Wind,Turkey
2171,237877,"Sichuan Huadian Xixi River Hydro-electricity Development Co., Ltd. Luogu Hydroelectric Project",102.995277,27.825832,2010,Hydropower,China
2172,237945,Chongqing Youyang County Youchou Hydropower Project,109.147221,28.966666,2008,Hydropower,China
2173,237909,Grid Connected Wind Power Project in Tamil Nadu,77.436109,9.879443,2010,Wind,India
2176,2371131,"13.65 MW Wind Power Project of Khatau Narbheram & Co. in Tamil Nadu, India.",77.14175,10.70875,,Wind,India
2177,237225,"15 MW bundled gird connected renewable energy project in Maharashtra, India.",74.847722,17.156583,2006,RE Bundled,India
2178,237234,14 MW Wind Power Project in Maharashtra,74.314311,20.990247,2009,Wind,India
2179,237314,"15 MW Bundled grid-connected wind electricity generation project in  Radhapuram Taluk of Tirunelveli District in Tamil Nadu, India",77.594194,8.149,,Wind,India
2180,2378,15 MW Wind Energy Project in Maharashtra,73.963729,21.21137,2006,Wind,India
2181,237630,13.65 MW Captive Wind Energy Project in Tirunelveli,77.3,8.97,2005,Wind,India
2182,237624,"15 MW Biomass Residue Based Power Project at Ghazipur, India",83.066667,25.316667,2010,Biomass,India
2184,2371155,"14.70 MW Wind Power Project at Jath, Maharashtra",75.211667,16.927222,2012,Wind,India
2185,2371583,Solar Grouped project by Hero Future Energies Private Limited (EKIESL-VCS-Aug-16-02),75.6,23.8,,Solar - Centralized,India
2186,237927,"13.75 MW wind power project in Davangere, Karnataka, India",75.918886,14.453609,2009,Wind,India
2187,2371582,Wind Grouped project by Hero Future Energies Private Limited (EKIESL-VCS-Aug-16-03),71.24491,26.260354,2016,Wind,India
2188,2371584,Solar VCS Project by RSMML (EKIESL-VCS -Nov 2016-01),73.046389,27.949722,,Solar - Centralized,India
2189,237347,"8.5 MW Bundled grid-connected wind electricity generation project at Tirunelveli, Tamil Nadu, India",77.589299,8.161447,2006,Wind,India
2191,2371042,Oaxaca III Wind Energy Project,-94.838277,16.573239,2012,Wind,Mexico
2192,237628,Generation of electricity in Maharashtra from Bundled Wind Energy Project Activity,74.35169,21.31672,2006,Wind,India
2194,237423,"2.225 MW wind power project in Tamil Nadu, India.",77.07,10.55,2009,Wind,India
2195,237477,20 MW Enercon Windfarms (SAI) Pvt. Limited in Maharashtra,73.75,19.75,2007,Wind,India
2196,237610,"4.50 MW Akkihebbal Mini Hydel Scheme, Cauvery Hydro Energy Ltd., India",76.411666,12.630556,2007,Hydropower,India
2197,237437,"12 MW Wind Power Project in Kutch, Gujarat",68.861444,23.088167,2007,Wind,India
2199,237631,"13.25 MW Wind Power Generation by RMTL, in Kutch, Gujarat",68.866664,23.05,2008,Wind,India
2200,237147,"9.75 MW WIND POWER PROJECT AT CHITRADURGA, KARNATAKA, INDIA BY ESWARI GROUP.",76.413278,14.289,2006,Wind,India
2201,237369,"12.25 MW Bundled grid-connected wind electricity generation project, Tamil Nadu, India",77.678278,8.206667,,Wind,India
2202,237857,9.9 MW Bundled Wind Power Project in Maharashtra by REI Agro Limited,74.202776,21.169722,,Wind,India
2203,2371580,Solar Grouped project by ACME Group (EKIESL-VCS-Aug-16-01),79.560839,25.772206,2015,Solar - Distributed,India
2204,2372895,Guizhou Jinyan CMM Power Generation Project,105.751666,27.262498,,,
2205,237894,Yunnan Sinanjiang Hydropower Project,101.877777,23.095278,2008,Hydropower,China
2206,2371579,Renewable Energy Project in Rajasthan & Maharashtra,71.450061,26.517381,2015,RE Bundled,India
2207,237432,"Xiaoshan Power Plantâ€™s NG Power Generation Project of Zhejiang Southeast Electric Power Co., Ltd.",120.233333,30.05,2007,Geothermal,China
2208,237400,"Zhejiang Provincial Energy Group Zhenhai Natural Gas Power Generation Co., Ltd.â€™s NG Power Generation Project",121.716667,29.966667,,,
2209,2371578,15 MW Solar Photovoltaic Power Project at Gujarat,72.43,22.32,2012,Solar - Centralized,India
2210,237911,Grid Connected Wind Energy Project in Tamil Nadu,77.564722,9.950552,2011,Wind,India
2211,237373,"â€œSurplus power generation for gridâ€ at Vayyuru, Andhra Pradesh",80.833333,16.366667,2008,Biomass,India
2212,2372876,Muyuan WJZ AWMS GHG Mitigation Project in Henan Province,112.45438,32.86918,,,
2213,2371023,Grid Connected Wind Power Project by M/s Giriraj Enterprises in Madhya Pradesh,76.06319,23.86533,2011,Wind,India
2214,2371110,10.5 MW wind mill project of ICF in the state of Tamil Nadu,77.754722,8.308056,,Wind,India
2215,237129,10 MW biomass based power project of Ind Power Limited.,83.494444,21.929167,2006,Biomass,India
2216,237224,"10 MW Grouped Wind Power Project in Maharashtra State, India",74.425556,21.618611,,Wind,India
2217,237237,7.5 MW Wind Power Project by M/s. NITCO Limited in Maharashtra,74.315011,21.335419,2009,Wind,India
2218,237858,"10.2 MW Grid Connected Wind Energy Project in Gujarat, India",70.692778,23.313888,,Wind,India
2219,237801,"10 MW Biomass Based Power Generation Project by Rake Power Limited at Ramtek, Nagpur",79.251389,21.3975,2011,Biomass,India
2221,237111,"Kalealti 15 MW Hydropower Plant, Turkey",36.16306,37.57444,2006,Hydropower,Turkey
2222,237988,â€œHot Air Generation Using Renewable Biomass Fuel for Spray Drying Application in Orient Ceramics & Industries Limited (OCIL)â€,77.65,28.481942,,Biomass,India
2223,237637,12 MW Wind Electricity Generation Farm at Radhapuram by M/s Surana Industries Limited,77.68056,8.27361,2006,Wind,India
2224,237619,15 MW Grid Connected Renewable Energy Wind Turbine in Karnataka,76.4925,13.855833,2006,Wind,India
2225,237731,â€œBundle-V bundled grid connected wind power project in the state of Gujaratâ€,70.698888,23.338055,2007,Wind,India
2226,2371212,"10 MWp Grid Interactive Solar Power Project in Gujarat Solar Park, India",71.1977,23.9027,,Solar - Distributed,India
2228,2371574,Bundled Solar VCS Project by EKIESL (EKIESL- VCS.Oct 2016-01),72.005833,26.8075,2016,Solar - Distributed,India
2229,2371347,KSAIL Bagasse Power Project,34.814166,-3.633055,,Biomass,Kenya
2230,237786,Hyundai Steel Waste Energy Cogeneration Project,126.703221,36.982852,,,
2231,237304,Fundao Santa-Clara Energetic Complex Project (FSCECP),-52,-25.7,2006,RE Bundled,Brazil
2232,2371314,Guohua Tongliao Kezuo Zhongqi Phase II 49.5 MW Wind Farm Project,122.9325,44.24,,Wind,China
2233,2371572,Maldonado II Wind Farm,-54.910608,-34.524561,,Wind,Uruguay
2234,237197,Kamiranga Ceramic Fuel Switching Project,-47.476022,-1.619228,2008,Biomass,Brazil
2236,2371024,"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan",70.62581,27.20586,2016,Wind,India
2237,2371570,BUNDLED WIND VCS PROJECT BY EKIESL (EKIESL- VCS.SEPT 2016-01),71.4494,26.5272,2016,Wind,India
2238,237431,6.2 MW Bundled Wind Power Project in India,70.066667,22.466667,2008,Wind,India
2239,2371135,27.3 MW Wind energy farm at Mokla Rajasthan by HZL,70.662778,27.2525,2011,Wind,India
2240,2371137,"21 MW Wind energy farm at Palladam, TamilNadu by HZL",77.458611,10.867221,2011,Wind,India
2241,237122,17.45 MW Bundled Wind Power Project in India,76.4,14.633333,2005,Wind,India
2243,2371139,"15 MW Wind energy farm at Gopalpura, Karnataka by HZL",76.290278,12.956388,2011,Wind,India
2244,237677,9 MW grid-connected wind electricity generation by GNFC,69.039444,22.998055,2007,Wind,India
2246,2371569,Karacabey Wind Power Project,28.358556,40.319333,2016,Wind,Turkey
2247,2371409,YalnizardiÃ§ Dam and Berat HEPP,32.458166,36.762544,,Hydropower,Turkey
2248,2371567,Wind Power Project in Rajasthan by LWEPL,71.2478,26.7023,2014,Wind,India
2250,2371061,Kentilux Wind Farm,-56.560844,-34.740483,2012,Wind,Uruguay
2251,237370,Grid connected bundled wind power project in Gujarat managed by Enercon (India) Limited,70.265556,21.973056,2008,Wind,India
2253,237339,"Utilization of renewable biomass in various thermal energy generating equipments at Shirdi Industries Limited. (SIL), Uttarakhand, India",79.5167,29.05,2007,Biomass,India
2255,2371040,Inner Mongolia Hangjin Yihewusu Wind Power Project,106.916944,40.378333,2008,Wind,China
2256,2371044,Ziqiang 18MW Hydropower Project in Guizhou Province China,106.0839,23.6778,2010,Hydropower,China
2257,2371053,FUEL REPLACEMENT WITH WASTE GAS STREAM CONTAINING HYDROGEN AND BIOMASS AT THE CMPC,-72.479641,-37.791754,,,
2258,2371054,MRO Grouped Wind Projects Phase II,-98.888,48.166,2013,Wind,United States
2259,23772,Heilongjiang Mulan Windfarm Project,127.716667,46.166667,2004,Wind,China
2260,237259,"R.S.J OZONE BUNDLED WIND FARM EMISSION OFFSET PROJECT, - PHASE IV",77.322033,10.609767,,Wind,India
2261,237429,Grouped Wind Power Project in India,74.583333,17.016667,2007,Wind,India
2263,2371003,DoganÃ§ay Weir and Hydroelectric Power Plant,35.166666,37.5,,Hydropower,Turkey
2264,2371004,Yamanli II Hydroelectric Power Plant,36.125,37.875,,Hydropower,Turkey
2266,237925,Bundled Wind Power Project by M/s D. J Malpani,75.918886,14.453609,2009,Wind,India
2267,237835,"44.40 MW Wind Energy Project by Ruchi Soya Industries Limited, India",74.99,23.64,2010,Wind,India
2269,2371563,"Adani Enterprises Limited Solar PV Power Project in Gujarat, India",69.023611,23.261666,2012,Solar - Centralized,India
2273,237248,"1.25 MW Wind Power Project by M/s. Garden Court Distilleries Pvt. Ltd. at Sangli, Maharashtra, India",74.870981,17.183181,2006,Wind,India
2274,237389,1.2 MW World Institute of Sustainable Energy Wind Farm in Karnataka,76.500334,13.832556,2006,Wind,India
2275,2371353,"Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA-V2)",77.094166,10.884997,2010,Wind,India
2277,2371562,Hydroelectric Project Aures Bajo,-75.410461,5.743424,,Hydropower,Colombia
2278,2371203,Suzlon 8.40 MW Wind Power Project,70.636386,27.179444,2011,Wind,India
2279,2371560,Tejuva-Chandgarh Wind Project,76.333331,23.203609,2015,Wind,India
2281,237166,Dachunhe Sanji 6MW Hydropower Project in Yunnan Province,101.517336,24.178794,2008,Hydropower,China
2282,23764,Gomes de Mattos Ceramic Fuel Switching Project,-39.413611,-7.176667,2006,Biomass,Brazil
2283,23766,Karakurt 10.8 MW Wind Farm,27.816822,39.105231,2007,Wind,Turkey
2284,237943,Rio Negro Ceramic  Fuel Switching Project,-60.078056,-3.153056,2009,Biomass,Brazil
2286,2371559,49.5 MW Wind Power Project by Master Wind Energy Limited in Pakistan,67.999822,25.089506,,Wind,Pakistan
